District,2010-M,2010-F,2015-M,2015-F,2016-M,2016-F,2017-M,2017-F,2018-M,2018-F,2019-M,2019-F,2020-M,2020-F
Wa West,40227,41121,43931,45625,44987,46676,46084,47725,47173,48810,48283,49910,49419,51020
Wa Municipal,52996,54218,57929,60172,59356,61528,60760,62984,62239,64370,63713,65833,65191,67296
Wa East,36396,35678,39007,40507,39948,41434,40915,42374,41888,43345,42879,44318,43880,45302
Sissala East,27503,29025,30675,31851,31415,32586,32180,33320,32946,34083,33725,34853,34511,35631
Nadowli-Kaleo,28753,32808,33328,34607,34127,35401,34955,36207,35792,37036,36639,37859,37491,38704
Jirapa,41592,46810,47709,49548,48875,50690,50056,51843,51247,53026,52454,54216,53676,55419
Sissala West,24151,25422,26889,27923,27541,28561,28204,29213,28868,29873,29560,30548,30253,31228
Lambussie Karni,24952,26702,28027,29099,28706,29770,29402,30451,30094,31139,30809,31838,31525,32554
Lawra,26346,28543,29536,30669,30257,31383,30983,32092,31724,32819,32468,33565,33230,34307
Daffiama Bussie,15971,16856,17801,18479,18232,18907,18671,19337,19114,19780,19568,20219,20026,20671
Nandom,22295,23745,24994,25955,25606,26549,26213,27155,26845,27773,27470,28396,28121,29024
